outputN.42_dunk_386_521 16 465 1 1:-105 2:-109 3:3
outputN.42_dunk_386_521 14 438 -1 1:-31 2:-61 3:0
outputN.42_dunk_386_521 16 471 -1 1:12 2:-105 3:4
outputN.42_dunk_386_521 2 483 -1 1:6 2:2 3:1
outputN.42_dunk_386_521 2 519 -1 1:30 2:-221 3:0
outputN.42_dunk_386_521 17 441 -1 1:-38 2:-41 3:0
outputN.42_dunk_386_521 82 495 -1 1:0 2:0 3:0
outputN.39_dunk_186_321 4 288 1 1:-43 2:-57 3:2
outputN.39_dunk_186_321 41 294 -1 1:-28 2:-52 3:0
outputN.39_dunk_186_321 4 210 -1 1:-26 2:-30 3:1
outputN.39_dunk_186_321 4 222 -1 1:11 2:-53 3:1
outputN.39_dunk_186_321 46 252 -1 1:0 2:-1 3:1
outputN.39_dunk_186_321 5 201 -1 1:0 2:-153 3:0
outputN.39_dunk_186_321 25 228 -1 1:-37 2:-40 3:0
outputN.39_dunk_186_321 38 309 -1 1:0 2:0 3:0
outputN.195_dunk_715_850 2 750 1 1:-140 2:-167 3:1
outputN.195_dunk_715_850 18 759 -1 1:-62 2:-66 3:0
outputN.195_dunk_715_850 2 747 -1 1:205 2:-167 3:2
outputN.195_dunk_715_850 2 729 -1 1:0 2:0 3:1
outputN.195_dunk_715_850 3 786 -1 1:215 2:-188 3:0
outputN.195_dunk_715_850 60 750 -1 1:0 2:0 3:0
outputN.17_dunk_382_517 36 420 1 1:-26 2:-201 3:1
outputN.17_dunk_382_517 27 420 -1 1:-58 2:-81 3:0
outputN.17_dunk_382_517 7 450 -1 1:79 2:-75 3:2
outputN.17_dunk_382_517 8 465 -1 1:0 2:0 3:1
outputN.17_dunk_382_517 3 495 -1 1:88 2:-134 3:0
outputN.17_dunk_382_517 8 405 -1 1:-36 2:-39 3:0
outputN.17_dunk_382_517 8 396 -1 1:29 2:1 3:0
outputN.167_dunk_672_807 4 771 1 1:-32 2:-85 3:3
outputN.167_dunk_672_807 21 756 -1 1:-65 2:-218 3:0
outputN.167_dunk_672_807 4 753 -1 1:-26 2:-44 3:3
outputN.167_dunk_672_807 4 768 -1 1:-19 2:-85 3:2
outputN.167_dunk_672_807 4 759 -1 1:10 2:-32 3:2
outputN.167_dunk_672_807 17 783 -1 1:8 2:-128 3:0
outputN.167_dunk_672_807 20 771 -1 1:-31 2:-43 3:0
outputN.167_dunk_672_807 15 744 -1 1:3 2:-2 3:0
outputN.164_dunk_237_372 6 369 1 1:-130 2:-135 3:1
outputN.164_dunk_237_372 6 258 -1 1:-46 2:-61 3:0
outputN.164_dunk_237_372 7 285 -1 1:-26 2:-32 3:1
outputN.164_dunk_237_372 8 348 -1 1:81 2:-88 3:1
outputN.164_dunk_237_372 5 363 -1 1:0 2:-25 3:1
outputN.164_dunk_237_372 43 351 -1 1:-24 2:-57 3:0
outputN.164_dunk_237_372 6 276 -1 1:-31 2:-34 3:0
outputN.164_dunk_237_372 80 282 -1 1:0 2:0 3:0
outputN.148_dunk_824_959 25 900 1 1:-41 2:-54 3:1
outputN.148_dunk_824_959 25 903 -1 1:-37 2:-45 3:1
