outputN.42_dunk_386_521 16 465 1 1:126 2:219 3-105 4:-109 5:3
outputN.42_dunk_386_521 14 438 -1 1:1298 2:346 3:-31 4:-61 5:0
outputN.42_dunk_386_521 16 471 -1 1:165 2:223 3:12 4:-105 5:4
outputN.42_dunk_386_521 2 483 -1 1:1028 2:132 3:6 4:2 5:1
outputN.42_dunk_386_521 2 519 -1 1:1920 2:0 3:30 4:-221 5:0
outputN.42_dunk_386_521 17 441 -1 1:957 2:340 3:-38 4:-41 5:0
outputN.42_dunk_386_521 82 495 -1 1:1920 2:0 3:0 4:0 5:0
outputN.39_dunk_186_321 4 288 1 1:1149 2:412 3-43 4:-57 5:2
outputN.39_dunk_186_321 41 294 -1 1:1920 2:0 3:-28 4:-52 5:0
outputN.39_dunk_186_321 4 210 -1 1:113 2:271 3:-26 4:-30 5:1
outputN.39_dunk_186_321 4 222 -1 1:76 2:288 3:11 4:-53 5:1
outputN.39_dunk_186_321 46 252 -1 1:1920 2:0 3:0 4:-1 5:1
outputN.39_dunk_186_321 5 201 -1 1:1920 2:0 3:0 4:-153 5:0
outputN.39_dunk_186_321 25 228 -1 1:807 2:121 3:-37 4:-40 5:0
outputN.39_dunk_186_321 38 309 -1 1:1920 2:0 3:0 4:0 5:0
outputN.195_dunk_715_850 2 750 1 1:200 2:184 3-140 4:-167 5:1
outputN.195_dunk_715_850 18 759 -1 1:324 2:119 3:-62 4:-66 5:0
outputN.195_dunk_715_850 2 747 -1 1:321 2:116 3:205 4:-167 5:2
outputN.195_dunk_715_850 2 729 -1 1:381 2:285 3:0 4:0 5:1
outputN.195_dunk_715_850 3 786 -1 1:658 2:578 3:215 4:-188 5:0
outputN.195_dunk_715_850 60 750 -1 1:1920 2:0 3:0 4:0 5:0
outputN.17_dunk_382_517 36 420 1 1:681 2:330 3-26 4:-201 5:1
outputN.17_dunk_382_517 27 420 -1 1:546 2:274 3:-58 4:-81 5:0
outputN.17_dunk_382_517 7 450 -1 1:343 2:283 3:79 4:-75 5:2
outputN.17_dunk_382_517 8 465 -1 1:201 2:355 3:0 4:0 5:1
outputN.17_dunk_382_517 3 495 -1 1:307 2:150 3:88 4:-134 5:0
outputN.17_dunk_382_517 8 405 -1 1:919 2:336 3:-36 4:-39 5:0
outputN.17_dunk_382_517 8 396 -1 1:945 2:332 3:29 4:1 5:0
outputN.167_dunk_672_807 4 771 1 1:744 2:353 3-32 4:-85 5:3
outputN.167_dunk_672_807 21 756 -1 1:1272 2:198 3:-65 4:-218 5:0
outputN.167_dunk_672_807 4 753 -1 1:766 2:379 3:-26 4:-44 5:3
outputN.167_dunk_672_807 4 768 -1 1:745 2:322 3:-19 4:-85 5:2
outputN.167_dunk_672_807 4 759 -1 1:719 2:378 3:10 4:-32 5:2
outputN.167_dunk_672_807 17 783 -1 1:0 2:0 3:8 4:-128 5:0
outputN.167_dunk_672_807 20 771 -1 1:674 2:123 3:-31 4:-43 5:0
outputN.167_dunk_672_807 15 744 -1 1:697 2:925 3:3 4:-2 5:0
outputN.164_dunk_237_372 6 369 1 1:549 2:465 3-130 4:-135 5:1
outputN.164_dunk_237_372 6 258 -1 1:876 2:358 3:-46 4:-61 5:0
outputN.164_dunk_237_372 7 285 -1 1:68 2:439 3:-26 4:-32 5:1
outputN.164_dunk_237_372 8 348 -1 1:995 2:286 3:81 4:-88 5:1
outputN.164_dunk_237_372 5 363 -1 1:488 2:182 3:0 4:-25 5:1
outputN.164_dunk_237_372 43 351 -1 1:1920 2:0 3:-24 4:-57 5:0
outputN.164_dunk_237_372 6 276 -1 1:973 2:323 3:-31 4:-34 5:0
outputN.164_dunk_237_372 80 282 -1 1:1920 2:0 3:0 4:0 5:0
outputN.148_dunk_824_959 25 900 1 1:333 2:281 3-41 4:-54 5:1
outputN.148_dunk_824_959 25 903 -1 1:356 2:289 3:-37 4:-45 5:1
outputN.148_dunk_824_959 25 897 -1 1:316 2:277 3:74 4:-54 5:1
outputN.148_dunk_824_959 25 891 -1 1:297 2:264 3:74 4:61 5:1
outputN.148_dunk_824_959 57 891 -1 1:1920 2:0 3:46 4:-81 5:0
outputN.148_dunk_824_959 24 915 -1 1:302 2:34 3:-29 4:-40 5:0
outputN.148_dunk_824_959 81 921 -1 1:1920 2:0 3:0 4:0 5:0
outputN.130_dunk_479_614 69 579 1 1:187 2:188 3-56 4:-90 5:1
outputN.130_dunk_479_614 4 576 -1 1:1212 2:162 3:-65 4:-69 5:0
outputN.130_dunk_479_614 69 585 -1 1:175 2:184 3:0 4:-56 5:1
outputN.130_dunk_479_614 2 594 -1 1:170 2:175 3:0 4:0 5:1
outputN.130_dunk_479_614 2 585 -1 1:0 2:0 3:0 4:-140 5:0
outputN.130_dunk_479_614 3 576 -1 1:408 2:337 3:-26 4:-35 5:0
outputN.130_dunk_479_614 100 567 -1 1:0 2:0 3:0 4:0 5:0
outputN.82_dunk_2740_2875 8 2775 1 1:324 2:336 3-52 4:-81 5:1
outputN.82_dunk_2740_2875 23 2838 -1 1:460 2:174 3:-132 4:-144 5:0
outputN.82_dunk_2740_2875 13 2769 -1 1:430 2:121 3:79 4:-122 5:1
outputN.82_dunk_2740_2875 13 2871 -1 1:323 2:407 3:33 4:-30 5:2
